block,tx_hash,log_index,event,owner,tickLower,tickUpper,liquidity,amount0,amount1
19341622,0x7c9f4b46bff8378dddd565121f4b5687ce1c19a061831d558eb1f37d5704a997,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67620,67630,21995327148,374019,0
19342509,0x6dd31261547974dc67465a60ace2b4305c76333a71dd57eceded011c533aecfe,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67570,67580,21951542879,374208,0
19343412,0x840734a1f859d3111e2e1e31d79c59cf555883aa53a0444c0d7128270e89469f,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67550,67560,21929486200,374206,0
19344310,0xa6e1c83062914eb47f30590121c798d8504219b354826524099d14bdf161e5f8,45,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67530,67540,21907451682,374204,0
19344440,0x160e6ac1906dd6892a7a59bf2a1aa327d1b8029e5896078c9f220a7c5d41d601,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63940,68940,162556148432,400586336,762422281045
19345223,0x2c547b3aae8fb1b518cd48de03e182ec6917c7d7e470852e705fac21ae046344,17,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67470,67480,21843173566,374227,0
19346856,0x8acbc0a41bd9cd912d6aeb2ea760ef1b40e01de1df1b5bf8da37bc630e9fbe73,11,Burn,0x5977767ef6324864f170318681eccb82315f8761,70320,73260,33734295,137067,0
19348061,0x6f932c45f737dfc73b7ad2e779be1528a23ca94967e566156edd87b9b99e9114,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63960,68960,163164460684,405401699,762878392073
19350460,0x7a3e42937e51d0124935b0aa421e244123572132f518e1f158f10ab85c7c3210,4,Burn,0x5977767ef6324864f170318681eccb82315f8761,68400,71160,32849520,138532,0
19350614,0xb37e6df74e76b4faf8babd2ab9119a35e7395331412ce8b9e91369f3e29d3716,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67450,67460,21821225781,0,318068688
